#2023-03-24 20:16:57 3VW5T7AU4FM000741
#Time	03/滑差控制系统传感器/纵向加速度传感器偏置/[LO]_long acc/纵向加速度传感器偏置	03/滑差控制系统传感器/转向角传感器/[LO]_steering_angle_sender/转向角传感器	03/滑差控制系统传感器/横向加速度传感器1/[LO]_lat acc/横向加速度传感器1	03/滑差控制系统传感器/纵向加速传感器/[LO]_long acc/纵向加速传感器	03/滑差控制系统传感器/横摆角速度传感器1，Z轴/[LO]_z_axle/横摆角速度传感器1，Z轴	03/滑差控制系统传感器/转向角传感器，偏置直线运行/[LO]_steering_angle_sender/转向角传感器，偏置直线运行	03/滑差控制系统传感器/横向加速度传感器1偏置/[LO]_lat acc/横向加速度传感器1偏置	03/电子差速锁/左后	03/电子差速锁/左前制动器温度计算值	03/电子差速锁/系统状态	03/电子差速锁/右后制动器温度计算值	03/电子差速锁/右前制动器温度计算值	03/电子差速锁/右前	03/电子差速锁/左后制动器温度计算值	03/电子差速锁/制动信号灯开关	03/电子差速锁/左前	03/电子差速锁/功能状态	03/电子差速锁/右后	
#Time	03-纵向加速度传感器偏置	03-转向角传感器	03-横向加速度传感器1	03-纵向加速传感器	03-横摆角速度传感器1，Z轴	03-转向角传感器，偏置直线运行	03-横向加速度传感器1偏置	03-左后	03-左前制动器温度计算值	03-系统状态	03-右后制动器温度计算值	03-右前制动器温度计算值	03-右前	03-左后制动器温度计算值	03-制动信号灯开关	03-左前	03-功能状态	03-右后	
#ms	m/s?	°	m/s?	m/s?	度/秒	°	m/s?	-	℃	-	℃	℃	-	℃	-	-	-	-	
466	-0.28125	-23.669	-0.45126	-0.35316	0.129	-23.669	-0.39240	可用	11.5	可用	11.5	11.5	可用	11.5	未操作	可用	未激活	可用	
820	-0.28125	-23.669	-0.43164	-0.31392	0.117	-23.669	-0.29430	可用	11.5	可用	11.5	11.5	可用	11.5	未操作	可用	未激活	可用	
1237	-0.28125	-23.669	-0.43164	-0.33354	0.066	-23.669	-0.29430	可用	11.5	可用	11.5	11.5	可用	11.5	未操作	可用	未激活	可用	
1688	-0.28125	-23.669	-0.43164	-0.33354	0.249	-23.669	-0.29430	可用	11.5	可用	11.5	11.5	可用	11.5	未操作	可用	未激活	可用	
2147	-0.28125	-23.669	-0.43164	-0.31392	-0.009	-23.669	-0.29430	可用	11.5	可用	11.5	11.5	可用	11.5	未操作	可用	未激活	可用	
2692	-0.28125	-23.669	-0.44145	-0.34335	0.097	-23.669	-0.29430	可用	11.5	可用	11.5	11.5	可用	11.5	未操作	可用	未激活	可用	
3220	-0.28125	-23.669	-0.44145	-0.33354	0.100	-23.669	-0.29430	可用	11.5	可用	11.5	11.5	可用	11.5	未操作	可用	未激活	可用	
3644	-0.28125	-23.669	-0.43164	-0.34335	0.289	-23.669	-0.29430	可用	11.5	可用	11.5	11.5	可用	11.5	未操作	可用	未激活	可用	
3999	-0.28125	-23.669	-0.42183	-0.35316	0.057	-23.669	-0.29430	可用	11.5	可用	11.5	11.5	可用	11.5	未操作	可用	未激活	可用	
4475	-0.28125	-23.669	-0.42183	-0.32373	0.051	-23.669	-0.29430	可用	11.5	可用	11.5	11.5	可用	11.5	未操作	可用	未激活	可用	
5198	-0.28125	-23.669	-0.43164	-0.34335	0.092	-23.669	-0.29430	可用	11.5	可用	11.5	11.5	可用	11.5	未操作	可用	未激活	可用	
5712	-0.28125	-23.669	-0.43164	-0.32373	0.192	-23.669	-0.29430	可用	11.5	可用	11.5	11.5	可用	11.5	未操作	可用	未激活	可用	
6275	-0.28125	-23.669	-0.44145	-0.36297	0.117	-23.669	-0.39240	可用	11.5	可用	11.5	11.5	可用	11.5	未操作	可用	未激活	可用	
7079	-0.28125	-23.669	-0.42183	-0.34335	0.243	-23.669	-0.29430	可用	11.5	可用	11.5	11.5	可用	11.5	未操作	可用	未激活	可用	
7694	-0.28125	-23.669	-0.44145	-0.31392	0.212	-23.669	-0.29430	可用	11.5	可用	11.5	11.5	可用	11.5	未操作	可用	未激活	可用	
8062	-0.28125	-23.669	-0.43164	-0.34335	0.229	-23.669	-0.29430	可用	11.5	可用	11.5	11.5	可用	11.5	未操作	可用	未激活	可用	
8487	-0.28125	-23.669	-0.38259	-0.34335	0.089	-23.669	-0.29430	可用	11.5	可用	11.5	11.5	可用	11.5	未操作	可用	未激活	可用	
8896	-0.28125	-23.669	-0.43164	-0.32373	0.157	-23.669	-0.29430	可用	11.5	可用	11.5	11.5	可用	11.5	未操作	可用	未激活	可用	
9210	-0.28125	-23.669	-0.44145	-0.34335	0.226	-23.669	-0.29430	可用	11.5	可用	11.5	11.5	可用	11.5	未操作	可用	未激活	可用	
9828	-0.28125	-23.669	-0.43164	-0.32373	0.229	-23.669	-0.29430	可用	11.5	可用	11.5	11.5	可用	11.5	未操作	可用	未激活	可用	
10300	-0.28125	-23.669	-0.42183	-0.32373	0.077	-23.669	-0.29430	可用	11.5	可用	11.5	11.5	可用	11.5	未操作	可用	未激活	可用	
10679	-0.28125	-23.669	-0.44145	-0.36297	0.043	-23.669	-0.29430	可用	11.5	可用	11.5	11.5	可用	11.5	未操作	可用	未激活	可用	
11015	-0.28125	-23.669	-0.44145	-0.32373	0.263	-23.669	-0.29430	可用	11.5	可用	11.5	11.5	可用	11.5	未操作	可用	未激活	可用	
11362	-0.28125	-23.669	-0.44145	-0.34335	0.212	-23.669	-0.29430	可用	11.5	可用	11.5	11.5	可用	11.5	未操作	可用	未激活	可用	
